Week starting,Erbil,Kerbala
29-Dec-13,,
5-Jan-14,1,
12-Jan-14,,
19-Jan-14,,
26-Jan-14,,
2-Feb-14,,1
9-Feb-14,,
16-Feb-14,,
23-Feb-14,,
2-Mar-14,,
9-Mar-14,1,
16-Mar-14,,4
23-Mar-14,,
30-Mar-14,,
6-Apr-14,,
13-Apr-14,,
20-Apr-14,,
27-Apr-14,3,
4-May-14,,1
11-May-14,,
18-May-14,1,
25-May-14,,
1-Jun-14,,
8-Jun-14,,5
15-Jun-14,,
22-Jun-14,1,
29-Jun-14,,4
6-Jul-14,,
13-Jul-14,,
20-Jul-14,,
27-Jul-14,,
3-Aug-14,1,2
10-Aug-14,,
17-Aug-14,,
24-Aug-14,1,12
31-Aug-14,,
7-Sep-14,,3
14-Sep-14,1,
21-Sep-14,,
28-Sep-14,,8
5-Oct-14,,
12-Oct-14,,
19-Oct-14,,19
26-Oct-14,,
2-Nov-14,,
9-Nov-14,,
16-Nov-14,10,
23-Nov-14,,
30-Nov-14,,
7-Dec-14,,1
14-Dec-14,,
21-Dec-14,,
28-Dec-14,,
4-Jan-15,,
11-Jan-15,,
18-Jan-15,,
25-Jan-15,,
1-Feb-15,1,
8-Feb-15,,
15-Feb-15,,
22-Feb-15,,
1-Mar-15,,
8-Mar-15,,
15-Mar-15,,
22-Mar-15,,
29-Mar-15,,
5-Apr-15,,
12-Apr-15,3,
19-Apr-15,,
26-Apr-15,,
3-May-15,,
10-May-15,,
17-May-15,,
24-May-15,,
31-May-15,1,
7-Jun-15,,
14-Jun-15,,
21-Jun-15,,
28-Jun-15,,
5-Jul-15,,
12-Jul-15,,
19-Jul-15,,
26-Jul-15,11,
2-Aug-15,1,
9-Aug-15,,
16-Aug-15,,
23-Aug-15,1,
30-Aug-15,4,
6-Sep-15,,
13-Sep-15,,
20-Sep-15,,
27-Sep-15,,
4-Oct-15,2,
11-Oct-15,,
18-Oct-15,,
25-Oct-15,,
1-Nov-15,,
8-Nov-15,,
15-Nov-15,,
22-Nov-15,,
29-Nov-15,,
6-Dec-15,,
13-Dec-15,,
20-Dec-15,,
27-Dec-15,,
3-Jan-16,1,
10-Jan-16,1,
17-Jan-16,,
24-Jan-16,,
31-Jan-16,2,
7-Feb-16,,
14-Feb-16,,
21-Feb-16,,
28-Feb-16,,
6-Mar-16,,6
13-Mar-16,,
20-Mar-16,,
27-Mar-16,4,
3-Apr-16,,
10-Apr-16,,
17-Apr-16,1,2
24-Apr-16,,
1-May-16,,
8-May-16,,
15-May-16,,
22-May-16,,
29-May-16,,
5-Jun-16,70,7
12-Jun-16,,
19-Jun-16,,
26-Jun-16,,
3-Jul-16,,
10-Jul-16,,
17-Jul-16,3,
24-Jul-16,,
31-Jul-16,,
7-Aug-16,1,
14-Aug-16,,
21-Aug-16,3,
28-Aug-16,,18
4-Sep-16,,
11-Sep-16,,
18-Sep-16,,
25-Sep-16,,
2-Oct-16,1,
9-Oct-16,,
16-Oct-16,,
23-Oct-16,,
30-Oct-16,,
6-Nov-16,,1
13-Nov-16,,8
20-Nov-16,1,
27-Nov-16,,
4-Dec-16,,
11-Dec-16,,
18-Dec-16,7,
25-Dec-16,,
