locations,Anbar_distKm,Babylon_distKm,Baghdad_distKm,Basrah_distKm,Dahuk_distKm,Diyala_distKm,Erbil_distKm,Kerbala_distKm,Kirkuk_distKm,Missan_distKm,Muthanna_distKm,Najaf_distKm,Ninewa_distKm,Qadissiya_distKm,Salahal Din_distKm,Sulaymaniyah_distKm,Thi Qar_distKm,Wassit_distKm
Anbar,0,206,114,627,480,178,385,170,293,505,379,270,399,274,174,412,469,328
Babylon,216,0,120,460,596,193,501,44.1,409,337,212,64.4,514,106,290,495,302,161
Baghdad,123,121,0,542,481,68.9,360,104,265,353,294,185,400,188,175,370,384,177
Basrah,639,463,542,0,1018,616,923,502,831,243,301,449,937,377,712,917,253,378
Dahuk,483,601,485,1022,0,441,148,585,240,836,774,665,76.4,669,301,326,864,660
Diyala,187,193,68.3,614,446,0,314,176,219,396,366,257,386,261,161,324,456,219
Erbil,380,486,362,907,159,317,0,470,103,706,659,550,89,554,215,179,749,529
Kerbala,151,46.1,123,504,598,196,504,0,412,382,256,80.3,517,151,292,497,347,206
Kirkuk,286,389,264,810,245,219,106,372,0,608,562,453,167,457,121,125,652,432
Missan,463,327,341,268,821,377,692,367,597,0,420,367,740,315,515,577,291,168
Muthanna,380,204,283,302,759,357,664,243,572,315,0,155,678,118,453,658,109,244
Najaf,279,61.8,182,445,658,256,563,80.4,471,381,142,0,577,77.3,352,557,253,205
Ninewa,407,525,409,946,81.4,369,88.9,509,167,761,698,589,0,593,225,296,789,584
Qadissiya,278,102,182,368,657,255,563,142,471,319,120,82,576,0,352,556,211,142
Salahal Din,184,302,185,723,305,174,217,285,125,537,475,366,224,369,0,244,565,361
Sulaymaniyah,398,496,371,917,304,269,201,479,126,603,669,560,288,564,232,0,612,428
Thi Qar,448,272,351,206,827,425,732,311,640,206,107,258,746,186,521,726,0,183
Wassit,298,162,177,376,656,212,527,202,432,179,255,203,575,150,350,417,185,0
